Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status,Year
2,45,Dwight Powell,PF,Canada,Charlotte Hornets,Stanford,No,College Senior,2014
2,46,Jordan Clarkson,PG,United States,Washington Wizards,Missouri,Yes,College Junior,2014
2,47,Russ Smith,PG/SG,United States,Philadelphia 76ers,Louisville,Yes,College Senior,2014
2,48,Lamar Patterson,SG/SF,United States,Milwaukee Bucks,Pittsburgh,Yes,College Senior,2014
2,49,Cameron Bairstow,PF/C,Australia,Chicago Bulls,New Mexico,No,College Senior,2014
2,50,Alec Brown,C,United States,Phoenix Suns,Green Bay,No,College Senior,2014
2,51,Thanasis Antetokounmpo,SF,Greece,New York Knicks,Delaware 87ers (NBA D-League),Yes,Playing Internationally,2014
2,52,Vasilije Micić,PG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally,2014
2,53,Alessandro Gentile,SF,Italy,Minnesota Timberwolves,Olimpia Milano (Italy),Yes,Playing Internationally,2014
2,54,Nemanja Dangubić,SG,Serbia,Philadelphia 76ers,Mega Vizura (Serbia),Yes,Playing Internationally,2014
2,55,Semaj Christon,PG,United States,Miami Heat,Xavier,Yes,College Sophmore,2014
2,56,Devyn Marble,SG/SF,United States,Denver Nuggets,Iowa,Yes,College Senior,2014
2,57,Louis Labeyrie,PF/C,France,Indiana Pacers,Paris-Levallois Basket,Yes,College Freshman,2014
2,58,Jordan McRae,SG,United States,San Antonio Spurs,Tennessee,Yes,College Senior,2014
2,59,Xavier Thames,PG/SG,United States,Toronto Raptors,San Diego State,Yes,College Senior,2014
2,60,Cory Jefferson,PF,United States,San Antonio Spurs,Baylor,Yes,College Senior,2014
1,1,Karl-Anthony Towns,C,Dominican Republic,Minnesota Timberwolves,Kentucky,No,College Freshman,2015
1,2,D'Angelo Russell,PG,United States,Los Angeles Lakers,Ohio State,No,College Freshman,2015
1,3,Jahlil Okafor,C,United States,Philadelphia 76ers,Duke,No,College Freshman,2015
1,4,Kristaps Porziņģis,PF/C,Latvia,New York Knicks,Baloncesto Sevilla (Spain),No,Playing Internationally,2015
1,5,Mario Hezonja,SG/SF,Croatia,Orlando Magic,FC Barcelona (Spain),No,Playing Internationally,2015
1,6,Willie Cauley-Stein,PF,United States,Sacramento Kings,Kentucky,No,College Junior,2015
1,7,Emmanuel Mudiay,PG,DR Congo,Denver Nuggets,Guangdong Southern Tigers,No,College Sophmore,2015
1,8,Stanley Johnson,SF,United States,Detroit Pistons,Arizona,No,College Freshman,2015
1,9,Frank Kaminsky,PF,United States,Charlotte Hornets,Wisconsin,No,College Senior,2015
1,10,Justise Winslow,SF,United States,Miami Heat,Duke,No,College Freshman,2015
1,11,Myles Turner,C,United States,Indiana Pacers,Texas,No,College Freshman,2015
1,12,Trey Lyles,PF,Canada,Utah Jazz,Kentucky,No,College Freshman,2015
1,13,Devin Booker,SG,United States,Phoenix Suns,Kentucky,No,College Freshman,2015
1,14,Cameron Payne,PG,United States,Oklahoma City Thunder,Murray State,No,College Sophmore,2015
1,15,Kelly Oubre Jr.,SF,United States,Atlanta Hawks,Kansas,Yes,College Freshman,2015
1,16,Terry Rozier,PG,United States,Boston Celtics,Louisville,No,College Sophmore,2015
1,17,Rashad Vaughn,SG,United States,Milwaukee Bucks,UNLV,No,College Freshman,2015
1,18,Sam Dekker,SF,United States,Houston Rockets,Wisconsin,Yes,College Junior,2015
1,19,Jerian Grant,PG,United States,Washington Wizards,Notre Dame,Yes,College Senior,2015
1,20,Delon Wright,PG,United States,Toronto Raptors,Utah,No,College Senior,2015
1,21,Justin Anderson,SF,United States,Dallas Mavericks,Virginia,No,College Junior,2015
1,22,Bobby Portis,PF,United States,Chicago Bulls,Arkansas,No,College Sophmore,2015
1,23,Rondae Hollis-Jefferson,SF,United States,Portland Trail Blazers,Arizona,Yes,College Sophmore,2015
1,24,Tyus Jones,PG,United States,Cleveland Cavaliers,Duke,Yes,College Freshman,2015
1,25,Jarell Martin,PF,United States,Memphis Grizzlies,LSU,No,College Sophmore,2015
1,26,Nikola Milutinov,C,Serbia,San Antonio Spurs,Partizan Belgrade (Serbia),No,Playing Internationally,2015
1,27,Larry Nance Jr.,PF,United States,Los Angeles Lakers,Wyoming,Yes,College Senior,2015
1,28,R. J. Hunter,SG,United States,Boston Celtics,Georgia State,Yes,College Junior,2015
1,29,Chris McCullough,PF,United States,Brooklyn Nets,Syracuse,Yes,College Freshman,2015
1,30,Kevon Looney,PF,United States,Golden State Warriors,UCLA,No,College Freshman,2015
2,31,Cedi Osman,SG/SF,Turkey,Minnesota Timberwolves,Anadolu Efes (Turkey),Yes,Playing Internationally,2015
2,32,Montrezl Harrell,PF/C,United States,Houston Rockets,Louisville,Yes,College Junior,2015
2,33,Jordan Mickey,PF,United States,Boston Celtics,LSU,Yes,College Sophmore,2015
2,34,Anthony Brown,SF,United States,Los Angeles Lakers,Stanford,No,College Senior,2015
2,35,Willy Hernangómez,C,Spain,Philadelphia 76ers,Baloncesto Sevilla (Spain),Yes,Playing Internationally,2015
2,36,Rakeem Christmas,PF/C,United States,Minnesota Timberwolves,Syracuse,Yes,College Senior,2015
2,37,Richaun Holmes,SF/PF,United States,Philadelphia 76ers,Bowling Green,Yes,College Senior,2015
2,38,Darrun Hilliard,SG,United States,Detroit Pistons,Villanova,No,College Senior,2015
2,39,Juan Pablo Vaulet,SF,Argentina,Charlotte Hornets,Estudiantes de Bahía (Argentina),Yes,Playing Internationally,2015
2,40,Josh Richardson,SG,United States,Miami Heat,Tennessee,No,College Senior,2015
2,41,Pat Connaughton,SG,United States,Brooklyn Nets,Notre Dame,Yes,College Senior,2015
2,42,Olivier Hanlan,PG,Canada,Utah Jazz,Boston College,No,College Junior,2015
2,43,Joe Young,PG,United States,Indiana Pacers,Oregon,No,College Senior,2015
